id_estacion,nombre,latitud,longitud
2039,estacion de servicio calafia sa de cv,32.47641,-116.9214
2040,las mejores estaciones sa de cv,20.3037,-99.74484
2041,diaz gas sa de cv,31.71947,-106.4514
2042,combuexpress sa de cv,20.71413,-103.3042
2043,petromax sa de cv,26.03787,-98.29977
2044,estacion rael s de rl de cv,32.51342,-117.0715
2045,multiservicios la pilarica sa de cv ,25.7558,-108.9685
2046,petromax sa de cv,25.77202,-100.2918
2047,estacion rael s de rl de cv,31.86546,-116.6079
2048,estacion piru sa de cv,32.31202,-117.0457
2049,petromax sa de cv,25.65562,-100.184
2050,autoservicio berlanga sa de cv,26.92554,-101.4189
2051,petromax sa de cv,25.83842,-97.44485
2052,grupo octano sa de cv,21.4739,-105.1947
2053,circulo dos sa de cv,32.5279,-117.0271
2054,servicio sevilla sa de cv,19.58616,-99.1973
2055,petromax sa de cv,25.6788,-100.2365
2056,gasolinera huitepec sa de cv,16.73187,-92.65437
2057,petromax sa de cv,26.0139,-98.20425
2058,energia y servicios coordinados sa de cv,24.02956,-104.6217
2059,servicio sierra de arteaga sa de cv,25.57358,-100.9057
2060,combustibles y lubricantes atenas sa de cv,28.73367,-106.1008
2061,grupo octano sa de cv,19.77838,-103.9754
2062,becktrop operadora sa de cv,32.45102,-117.0249
2063,yligarza sa de cv,25.73174,-100.2726
2064,estacion la victoria sa de cv,32.53171,-117.0466
2065,petromax sa de cv,25.68592,-100.4652
2066,estacion la victoria sa de cv,32.51045,-117.0226
2067,petromax sa de cv,25.66026,-100.1466
2068,petromax sa de cv,25.44151,-100.9274
2069,petromax sa de cv,26.06297,-98.32712
2070,ramcal sa de cv,19.03549,-104.2109
2071,gasomac sa de cv,19.3231,-99.13844
2072,autoconsumo los pinos sa de cv ,19.30205,-99.16505
2073,servicios del valle del fuerte sa de cv,25.77298,-109.0001
2074,servicios energeticos plaza industrial sa de cv ,25.2563,-101.1169
2075,servicios gasolineros de mexico sa de cv,22.12339,-102.2834
2076,oleum gas sa de cv,16.73384,-93.09296
2077,servicios del valle del fuerte sa de cv,25.96616,-109.2961
2078,gasolineria cid sa de cv,19.64046,-99.36308
2079,gasolineria perseo sa de cv,19.74912,-99.11606
2080,multiservicios la pilarica sa de cv ,25.9744,-109.2856
2081,petromax sa de cv,26.06025,-98.35571
2082,petromax sa de cv,25.7805,-100.1759
2083,petromax sa de cv,20.73139,-103.4519
2084,servicio avenida sa de cv,21.89668,-102.3053
2085,estacion de servicio leon sderl de cv,21.09879,-101.6677
2086,petromax sa de cv,32.63511,-115.3865
2087,estacion de servicio pits s de rl de cv,32.49946,-116.7158
2088,grupo gocalvi sa de cv,31.5649,-106.3973
2089,socombumex sa de cv,19.07791,-104.288
2090,gasolineria segovia sa de cv,19.60755,-98.99508
2091,servicio los olivos sa de cv(e4394),31.7838,-116.5917
2092,multiservicios la pilarica sa de cv ,25.80147,-108.9855
2093,grupo octano sa de cv,19.79169,-100.9704
2094,petromax sa de cv,25.82625,-100.2963
2095,grupo octano sa de cv,21.52222,-104.8868
2096,inmobiliaria corredor tultitlan sa de cv ,19.67871,-99.10838
2097,petromax sa de cv,32.60843,-115.4722
2098,petromax sa de cv,19.63609,-99.10677
2099,grupo octano sa de cv,21.47011,-104.8489
2100,petromax sa de cv,25.73217,-100.2104
2101,crucero las golondrinassa de cv,19.14014,-103.7721
2102,becktrop operadora sa de cv,32.49127,-116.953
2103,petromax sa de cv,25.70155,-100.1302
2104,estacion rael s de rl de cv,32.51104,-116.9663
2105,grupo octano sa de cv,21.54249,-105.2828
2106,estacion de servicio automotriz del norte sa de cv,21.91625,-102.2924
2107,servicio cibola sa de cv,29.30929,-100.9351
2108,petromax sa de cv,25.53419,-103.3228
2109,multiservicios sigas sa de cv,22.14957,-102.4106
2110,servicios del valle del fuerte sa de cv,25.73669,-109.0138
2111,petromax sa de cv,26.04917,-98.38633
2112,servicio vega atizapan sa de cv,19.55827,-99.25086
2113,estacion rael s de rl de cv,32.50455,-116.977
2114,petromax sa de cv,25.72328,-100.1915
2115,estacion ramos sa de cv,25.52635,-100.941
2116,petromax sa de cv,25.85833,-97.53786
2117,estacion de servicio leon sderl de cv,21.12003,-101.6691
2118,grupo octano sa de cv,19.90187,-100.7924
2119,petromax sa de cv,25.64484,-100.1696
2120,petroliferos la territorial s de rl de cv,31.27435,-110.93
2121,petromax sa de cv,25.67366,-100.3682
2122,petromax sa de cv,25.71746,-100.1685
2123,servicio del centro hidalgo sa de cv ,20.94723,-101.4349
2124,servel triangulo del refugiosderldecv,32.53289,-117.0602
2125,amc combustibles y lubricantes sa de cv,26.91485,-101.4206
2126,servicio rama sa de cv,28.70405,-100.5448
2127,petromax sa de cv,25.81873,-100.2944
2128,servicio ravello sa de cv,32.49886,-116.917
2129,estacion rael s de rl de cv,32.63718,-115.3992
2130,petromax sa de cv,28.65146,-106.0694
2131,inmobiliaria anadeca sa de cv,32.51353,-117.1202
2132,servicios del valle del fuerte sa de cv,25.81053,-109.0028
2133,mara estacion de servicios sa de cv,21.89202,-102.2631
2134,grupo octano sa de cv,21.49442,-104.8968
2135,servicio orozco sa de cv,23.82137,-99.12276
2136,servicio puerta de hierro sa de cv,19.25796,-103.7087
2137,gasolineria real madeira sa de cv,19.57863,-99.02091
2138,petromax sa de cv,25.43487,-100.9133
