estacion_servicio,regular,premium,diesel
11703,20.19,22.89,
11702,20.69,22.99,20.49
11701,16.49,,20.99
11700,20.46,22.17,21.98
11699,20.15,22.15,
11698,21.1,,
11698,,,22.5
11697,19.49,21.99,20.99
11696,,20.87,
11696,18.99,,20.97
11695,20.29,21.39,22.09
11694,19.69,21.39,21.39
3153,19.99,,
3153,,22.19,
3153,,,21.05
11693,19.79,22.29,21.6
11692,,,21.85
11692,,22.4,
11692,19.8,,
11691,19.99,21.99,20.99
11690,19.39,21.19,20.69
11395,20.54,22.69,21.84
11394,,22.35,
11394,,,21.29
11394,19.99,,
11393,18.85,21.89,21.96
11392,,22.89,
11392,20.89,,
11392,,,22.19
11391,18.49,,
11391,,21.99,20.4
11390,19.99,,
11390,,,20.95
11390,,21.99,
2802,20.39,,
2802,,,20.99
2802,,22.99,
11389,15.2,17.99,
11388,20.69,,
11388,,22.99,21.79
11387,,,20.69
11387,19.39,,
11387,,22.64,
11386,19.1,21.4,21.1
11385,19.39,,
11385,,21.89,
11385,,,20.38
11384,20.15,22.35,21.39
11383,19.39,,
11383,,,20.59
11383,,21.79,
11382,18.6,19.4,
11381,19.43,21.55,
11380,20.29,,
11380,,,21.79
2848,19.99,,
2848,,22.99,20.99
11379,21.47,23.66,22.3
11378,18.99,,
11378,,22.15,
11378,,,20.69
11376,21.04,,
11376,,,22.64
11376,,22.75,
11377,20.5,,22.19
11375,20.93,22.73,22.37
11374,22.25,23.75,23.65
11373,20.89,22.73,22.39
11372,21.04,,
11372,,,22.64
11372,,22.75,
11371,20.91,22.73,22.39
11370,20.99,,22.54
2789,21.29,,
2789,,23.85,22.19
11368,,,23.1
11368,21.6,,
11367,21.04,,
11367,,,22.64
11367,,22.75,
11366,21.71,23.12,23.05
11365,20.6,22.7,21.89
11364,20.99,22.89,22.55
11362,21.71,23.12,23.05
11361,20.93,22.83,22.48
11360,,,21.9
11360,20.8,,
11360,,22.29,
3088,20.5,22.68,21.82
11359,20.89,22.59,22.39
11358,21.71,23.12,23.05
11357,20.79,22.45,22.19
11356,,,19.5
11356,19.99,,
11356,,22.95,
11355,20.15,22.55,
11354,20.95,22.6,22.2
11353,,,19.39
11353,19.19,,
11353,,19.7,
11345,,18.29,
11345,,,20.09
11345,15.99,,
11352,15.79,,
11352,,,20.49
11352,,17.99,
11346,21.45,22.9,22.95
3121,18.95,19.45,
11348,20.2,,
11348,,22.15,21.74
11351,15.79,,
11351,,,20.49
11351,,17.99,
11350,,22.95,
11350,21.5,,
11350,,,21.95
11349,,22.95,
11349,21.5,,
11347,20.79,22.49,22.49
11344,20.55,,
11344,,22.15,22.25
11342,20.55,,
11342,,22.15,22.25
11343,20.75,22.35,22.45
11341,15.25,17.85,19.95
2996,20.59,23.19,
2996,,,21.99
2845,20.99,,
2845,,22.49,
3134,21.3,,
2868,21.1,23.1,22.1
2977,20.86,22.96,21.88
2860,20.25,,
2860,,,22.05
3027,20.49,22.24,22.14
2982,20.4,,21.5
2982,,22.29,
2826,20.89,,
2826,,22.99,
2968,19.89,21.89,20.99
3065,21.19,22.79,22.74
3142,21.87,23.22,
3148,19.99,22.39,
2948,21.79,,
2948,,,21.99
2948,,22.99,
14580,,22.89,
14580,19.99,,
10306,,22.99,
10306,21.19,,22.19
2873,,20.34,
2873,19.71,,
2873,,,19.89
10769,,22.99,
10769,,,21.99
10769,20.99,,
10410,21.65,23.33,23.24
10691,,22.99,
10691,18.89,,
